have_pdf,year,cites,title,authors,venue,doi,topics,file,pdf_url,landing
,2012,4,Survey of Various Approaches To Countermeasure Sybil Attack,Karamjeet Kaur; Sanjay Batish; Arvind Kakaria,International Journal of Computer Science and Informatics,10.47893/ijcsi.2012.1077,Surveys & reviews,,https://doi.org/10.47893/ijcsi.2012.1077,https://doi.org/10.47893/ijcsi.2012.1077
YES,2011,4,Distributed Sybil Attack Detection in VANET,Reza Mortazavi; Maryam Rahbari,International Journal of Computer Applications,10.5120/3704-5192,"Cryptography, PKI & pseudonyms",pdfs/2011_Mortazavi_Distributed_Sybil_Attack_Detection_in_VANET.pdf,https://doi.org/10.5120/3704-5192,https://doi.org/10.5120/3704-5192
,2011,4,Sybil Attack in VANETs: Detection and Prevention,M.S. GAUR JYOTI GROVER,Auerbach Publications eBooks,10.1201/ebk1439819197-19,Trust / reputation,,,https://doi.org/10.1201/ebk1439819197-19
,2024,3,Detection of Sybil & DDoS attacks in VANET using intelligent technique,Urmila Bhanja; Ankit Majhi; Smrutirekha Sahu; Debapriya Parida,International Journal of Computers and Applications,10.1080/1206212x.2024.2389476,Machine learning / deep learning; Trust / reputation; Datasets & simulation,,,https://doi.org/10.1080/1206212x.2024.2389476
,2024,3,Developing an optimized routing protocol with rumor riding technique for detection of Sybil attack in VANET environment,V. R. Navinkumar; Dhanalakshmi Somasundaram,International Journal of Communication Systems,10.1002/dac.5715,Routing-protocol impact; Datasets & simulation,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/dac.5715,https://doi.org/10.1002/dac.5715
,2024,3,Seeing Is Believing: Detecting the Sybil Attacks in FANETs by Mapping Visual and Auditory Domains,Yanpeng Cui; Qixun Zhang; Zhiyong Feng; Ying Zhou; Zhiqing Wei; Ping Zhang; Jinlin Peng,IEEE Transactions on Vehicular Technology,10.1109/tvt.2024.3377630,RSSI / signal-strength & PHY; Trust / reputation,,,https://doi.org/10.1109/tvt.2024.3377630
,2023,3,Vehicular Platoons Security: A Review with an Emphasis on Sybil Attacks,Yosra Hassine; Haifa Touati,,10.23919/pemwn58813.2023.10304901,Surveys & reviews,,,https://doi.org/10.23919/pemwn58813.2023.10304901
,2022,3,Effective Authentication to Prevent Sybil Attacks in Vehicular Platoons,Danial Ritzuan Junaidi; Maode Ma; Rong Su,"2022 17th International Conference on Control, Automation, Robotics and Vision (ICARCV)",10.1109/icarcv57592.2022.10004350,"Cryptography, PKI & pseudonyms",,https://dr.ntu.edu.sg/bitstream/10356/166640/3/Effective%20Authentication%20to%20Prevent%20Sybil%20Attacks%20in%20Vehicular%20Platoons%20%28003%29.pdf,http://dx.doi.org/10.1109/icarcv57592.2022.10004350
,2021,3,A Novel Recruitment Policy to Defend against Sybils in Vehicular Crowdsourcing,Federico Concone; Fabrizio De Vita; Ajay Pratap; Dario Bruneo; Giuseppe Lo Re; Sajal K. Das,,10.1109/smartcomp52413.2021.00035,"Cryptography, PKI & pseudonyms; Machine learning / deep learning",,,https://doi.org/10.1109/smartcomp52413.2021.00035
,2021,3,Improvement of Sybil Attack Detection in Vehicular Ad-Hoc Networks Using Cross-layer and Fuzzy Logic,Mohamadreza Karimi; Rasool Sadeghi,Majlesi Journal of Electrical Engineering,10.52547/mjee.15.1.9,Trust / reputation; Datasets & simulation,,https://doi.org/10.52547/mjee.15.1.9,https://doi.org/10.52547/mjee.15.1.9
,2020,3,Security Measures in Vehicular Ad-Hoc Networks on the Example of Bogus and Sybil Attacks,Krzysztof Stępień; Aneta Poniszewska-Marańda,Advances in intelligent systems and computing,10.1007/978-3-030-44041-1_38,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-030-44041-1_38
,2018,3,Sybil attack resistant location privacy in VANET,S. Pushpa; Allam Balaram,International Journal of Information and Communication Technology,10.1504/ijict.2018.10013151,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Datasets & simulation",,https://pubmed.ncbi.nlm.nih.gov/39771874,https://doi.org/10.1504/ijict.2018.10013151
YES,2016,3,Comparative Analysis of Sybil Attack Detection Techniques in VANETs,Appan Chawla,Indian Journal of Science and Technology,10.17485/ijst/2016/v9i47/106423,"Cryptography, PKI & pseudonyms",pdfs/2016_Chawla_Comparative_Analysis_of_Sybil_Attack_Detection_Techniques_in_VANETs.pdf,https://doi.org/10.17485/ijst/2016/v9i47/106423,https://doi.org/10.17485/ijst/2016/v9i47/106423
,2016,3,Resilient Privacy Preservation Scheme to Detect Sybil Attacks in Vehicular Ad Hoc Networks,Allam Balaram; S. Pushpa,Indian Journal of Science and Technology,10.17485/ijst/2016/v9i48/99870,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted",,https://doi.org/10.17485/ijst/2016/v9i48/99870,https://doi.org/10.17485/ijst/2016/v9i48/99870
YES,2015,3,Detection of Sybil Attacks in Vehicular Ad Hoc Networks,Muhammad Saad Naveed; M Hasan Islma,Universal Journal of Communications and Network,10.13189/ujcn.2015.030103,Other / general Sybil defence,pdfs/2015_Naveed_Detection_of_Sybil_Attacks_in_Vehicular_Ad_Hoc_Networks.pdf,http://www.hrpub.org/download/20150301/UJCN3-12703308.pdf,https://doi.org/10.13189/ujcn.2015.030103
,2025,2,Detection of Sybil Attacks in Vanet using Transformer With CNN Hybrid Architecture and Optimized by AdamW Optimizer,M Abishek; Benita Gracia Thangam J; Adlin Sheeba; Sundarababu Maddu,,10.1109/icdsaai65575.2025.11011841,Machine learning / deep learning,,,https://doi.org/10.1109/icdsaai65575.2025.11011841
YES,2024,2,Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication,Thomas A. Morton; Abinash Borah; Anirudh Paranjothi,Internet Technology Letters,10.1002/itl2.617,Position / trajectory verification; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2024_Morton_TrustAware_Sybil_Attack_Detection_for_Resilient_Vehicular_Communication.pdf,http://arxiv.org/pdf/2411.07520v1,https://doi.org/10.1002/itl2.617
,2024,2,"Review for ""Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication""",,,10.1002/itl2.617/v2/review2,Trust / reputation; Surveys & reviews,,,https://doi.org/10.1002/itl2.617/v2/review2
,2024,2,Machine Learning-Based Detection of Data Replay and Data Replay Sybil Attacks for Vehicular Communication Networks,Owana Marzia Moushi; Chamath Gunawardena; Ye Feng; Rose Qingyang Hu; Yi Qian,,10.1109/icc51166.2024.10622192,Machine learning / deep learning; Datasets & simulation,,,https://doi.org/10.1109/icc51166.2024.10622192
,2023,2,Sybil Attack Detection in VANETs using Fog Computing and Beamforming,Abinash Borah; Anirudh Paranjothi,,10.1109/uemcon59035.2023.10316102,Position / trajectory verification; Machine learning / deep learning; Blockchain / distributed ledger; Trust / reputation; RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,,,http://dx.doi.org/10.1109/uemcon59035.2023.10316102
,2023,2,A Taxonomy of Secure Data Transmission Techniques: Preventing Sybil Attacks in Vehicular Ad Hoc Networks,Manmeet Kaur; Farnaz Farid,Lecture notes in networks and systems,10.1007/978-3-031-33743-7_24,Surveys & reviews,,,https://doi.org/10.1007/978-3-031-33743-7_24
,2022,2,Sybil Attack Countermeasures in Vehicular Ad Hoc Networks,Santosh Kumar; Amol Vasudeva; Manu Sood,,10.1109/ciees55704.2022.9990799,RSU / infrastructure-assisted; Surveys & reviews,,,https://doi.org/10.1109/ciees55704.2022.9990799
,2022,2,Sybil Attack Detection on ITS-V2X System using a Realistic Traffic Model-based Approach,Afdhal Afdhal; Ahmadiar Ahmadiar; Ramzi Adriman,,10.1109/comnetsat56033.2022.9994541,Position / trajectory verification,,,http://dx.doi.org/10.1109/comnetsat56033.2022.9994541
,2020,2,Privacy Aware Prevention of Sybil Attack in Vehicular Ad Hoc Networks,Rajeev Kumar; Naveen Chauhan; Pushpender Kumar; Narottam Chand; Adil Umar Khan,Advances in intelligent systems and computing,10.1007/978-3-030-40305-8_18,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-030-40305-8_18
,2020,2,Preserving Location Privacy in the Presence of Sybil Attacks in Vehicular Ad Hoc Networks,Allam Balaram; P. Chandana; Manda Silparaj,Solid State Technology,,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted",,,http://solidstatetechnology.us/index.php/JSST/article/view/3445
,2020,2,Extensive Detection of Sybil Attack using Spider Monkey Time Synchronization Technique in VANETs,Indhuja; M Kowshika; Kamsali Naveena; Purni,AIJR Abstracts,,Other / general Sybil defence,,,https://books.aijr.org/index.php/press/catalog/book/90/chapter/319
YES,2020,2,Sybil Attack Behavior Detection for V2x Based on Traffic Statistics,佳健 吕,Computer Science and Application,10.12677/csa.2020.1012229,Other / general Sybil defence,pdfs/2020_anon_Sybil_Attack_Behavior_Detection_for_V2x_Based_on_Traffic_Statistics.pdf,,https://doi.org/10.12677/csa.2020.1012229
,2019,2,Exploring the Effects of Sybil Attack on Pure Ad Hoc Deployment of VANET,Nishtha; Manu Sood,Lecture notes in electrical engineering,10.1007/978-3-030-29407-6_26,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-030-29407-6_26
YES,2019,2,Defending Against Sybil Attacks by Enhanced Event Based Reputation System in Vanet,Kunal J. Dutt; Seema Joshi,International Journal of Engineering and Advanced Technology,10.35940/ijeat.b3910.129219,Trust / reputation; RSU / infrastructure-assisted,pdfs/2019_Dutt_Defending_Against_Sybil_Attacks_by_Enhanced_Event_Based_Reputation_System_in_Vanet.pdf,https://doi.org/10.35940/ijeat.b3910.129219,https://doi.org/10.35940/ijeat.b3910.129219
,2017,2,Beyond passive detection of sybil attacks in VANET,Mohamed S. Mohamed; Prajjwol Dandekhya; Axel Krings,,10.1109/icrito.2017.8342456,Other / general Sybil defence,,,https://doi.org/10.1109/icrito.2017.8342456
YES,2016,2,Comparative Analysis of Sybil Attack Detection Techniques in VANETs,Appan Chawla; Rajeev Kumar Patial; Dilip Kumar,Indian Journal of Science and Technology,10.17485/ijst/2015/v8i1/106423,Other / general Sybil defence,pdfs/2016_Chawla_Comparative_Analysis_of_Sybil_Attack_Detection_Techniques_in_VANETs.pdf,https://doi.org/10.17485/ijst/2015/v8i1/106423,https://doi.org/10.17485/ijst/2015/v8i1/106423
,2015,2,A Comparative Analysis of Sybil Attacks on VANET,Rohika Bhatt; Parveen Thakur,,10.7815/ijorcs.51.2015.095,"Cryptography, PKI & pseudonyms; Surveys & reviews",,,http://www.ijorcs.org/uploads/archive/vol5-iss2-02-a-comparative-analysis-of-sybil-attacks-on-vanet.pdf
YES,2015,2,Sybil Node Detection and Prevention Approach on Physical Location in VANET,Priyanka Soni; Abhilash Sharma,International Journal of Computer Applications,10.5120/ijca2015906757,Position / trajectory verification; Routing-protocol impact,pdfs/2015_Soni_Sybil_Node_Detection_and_Prevention_Approach_on_Physical_Location_in_VANET.pdf,https://doi.org/10.5120/ijca2015906757,https://doi.org/10.5120/ijca2015906757
YES,2014,2,Improved Session key based Certificate to Detect Sybil Attack in VANET,Ravi Prakash; Kamal Soni,,,"Cryptography, PKI & pseudonyms",pdfs/2014_Prakash_Improved_Session_key_based_Certificate_to_Detect_Sybil_Attack_in_VANET.pdf,,https://www.ijert.org/research/improved-session-key-based-certificate-to-detect-sybil-attack-in-vanet-IJERTV3IS050501.pdf
YES,2026,1,Sybil Attack Prevention and Detection Mechanism in VANET Based on Multi-factor Authentication,Ermias Tadesse; Abubeker Girma; Abebaw Mebrte,International Journal of Information and Communication Sciences,10.11648/j.ijics.20261101.11,"Cryptography, PKI & pseudonyms",pdfs/2026_Tadesse_Sybil_Attack_Prevention_and_Detection_Mechanism_in_VANET_Based_on_Multifactor_Authenticati.pdf,http://article.sciencepg.com/pdf/j.ijics.20261101.11,https://doi.org/10.11648/j.ijics.20261101.11
,2025,1,A Deep Learning Approach to Detecting Multiple Types of Sybil Nodes in VANETs,Dong Tang; Aniket Mahanti; Ranesh Kumar Naha; Vishwambhar Pathak; Mei Gong,,10.1145/3773274.3774695,Position / trajectory verification; Machine learning / deep learning; Datasets & simulation,,https://doi.org/10.1145/3773274.3774695,https://doi.org/10.1145/3773274.3774695
YES,2025,1,Sybil Attack Detection in VANET Using CNN Enhanced with Chaotic Maps and Elephant Herding Optimization for Secure Data Transmission,K. Suganyadevi; A. Swaminathan; Baskar Kasi; Misso Anju,Journal of Machine and Computing,10.53759/7669/jmc202505097,Machine learning / deep learning; RSU / infrastructure-assisted; Routing-protocol impact,pdfs/2025_Suganyadevi_Sybil_Attack_Detection_in_VANET_Using_CNN_Enhanced_with_Chaotic_Maps_and_Elephant_Herding.pdf,https://anapub.co.ke/journals/jmc/jmc_pdf/2025/jmc_volume_5-issue_2/JMC202505097.pdf,https://doi.org/10.53759/7669/jmc202505097
YES,2025,1,A better way to detect sybil attacks in vehiuclar ad hoc networks,Z. Cihan Taysi,DÜMF Mühendislik Dergisi,10.24012/dumf.1578650,"RSSI / signal-strength & PHY; Cryptography, PKI & pseudonyms; Machine learning / deep learning",pdfs/2025_Taysi_A_better_way_to_detect_sybil_attacks_in_vehiuclar_ad_hoc_networks.pdf,https://doi.org/10.24012/dumf.1578650,https://doi.org/10.24012/dumf.1578650
,2025,1,XGSybil :A Framework for Modeling and Identifying Sybil Attacks in Intelligent Transportation Systems,Hemanth S Patel; M. Taqiuddin Khan; Aysha Rahbar; S Nagasundari; N.P. Yashwanth,,10.1109/sceecs64059.2025.10941296,Machine learning / deep learning; Datasets & simulation,,,https://doi.org/10.1109/sceecs64059.2025.10941296
,2024,1,MVDetector: Malicious Vehicles Detection Under Sybil Attacks in VANETs,Yi‐Ming Wei; Wanting Qi; Zechuan Li; Yong Han; Yingxu Lai,Lecture notes in computer science,10.1007/978-3-031-75764-8_16,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-031-75764-8_16
,2024,1,Detection and Prevention of Black Hole Attack and Sybil Attack in Vehicular Ad Hoc Networks,Dhananjay Yadav; Nirbhay Kumar Chaubey,Communications in computer and information science,10.1007/978-3-031-75170-7_13,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-031-75170-7_13
,2024,1,Evaluating multidimensional RSSI-based approaches for identifying Sybil nodes in VANETs to improve vehicle network security,G. Shobana; Arockia Xavier Annie Rayan,International Journal of Ad Hoc and Ubiquitous Computing,10.1504/ijahuc.2024.140667,RSSI / signal-strength & PHY,,,https://doi.org/10.1504/ijahuc.2024.140667
,2023,1,A LightGBM-Based Approach to improve Sybil Attack Detection in VANET networks,Habiba Hadri; Mourad Ouadou; Khalid Minaoui,,10.1109/wincom59760.2023.10323017,Position / trajectory verification; Machine learning / deep learning; RSU / infrastructure-assisted; Datasets & simulation,,,http://dx.doi.org/10.1109/wincom59760.2023.10323017
,2023,1,Handle the Sybil Attack Using Hash Technique in Vehicular Ad Hoc Networks,A. Mummoorthy; N. S. Gowri Ganesh; R. Roopa Chandrika; P. Swetha,"Smart innovation, systems and technologies",10.1007/978-981-19-8497-6_16,Other / general Sybil defence,,,https://doi.org/10.1007/978-981-19-8497-6_16
,2022,1,AN IMPLEMENTATION OF HYBRID APPROACH FOR SYBIL ATTACKS IN VEHICULAR AD-HOC NETWORKS (VANETS),Sireesha Kakulla; Srinivas Malladi,Indian Journal of Computer Science and Engineering,10.21817/indjcse/2022/v13i2/221302162,"Position / trajectory verification; Cryptography, PKI & pseudonyms; Routing-protocol impact; Datasets & simulation",,http://www.ijcse.com/docs/INDJCSE22-13-02-162.pdf,https://doi.org/10.21817/indjcse/2022/v13i2/221302162
,2022,1,An Efficient Sybil Attack Detection Approach for Vehicular Ad-Hoc Networks,Durgesh Lohar; Sanjaya Kumar Panda; Slokashree Padhi; Sanjib Kumar Nayak,,10.1109/pdgc56933.2022.10053148,RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,,,https://doi.org/10.1109/pdgc56933.2022.10053148
,2022,1,Detection Method to Eliminate Sybil Attacks in Vehicular Ad-Hoc Networks,Zhaoyi Zhang; Yingxu Lai; Ye Chen; Jingwen Wei; Yuhang Wang,SSRN Electronic Journal,10.2139/ssrn.4197622,Other / general Sybil defence,,https://doi.org/10.2139/ssrn.4197622,https://doi.org/10.2139/ssrn.4197622
,2022,1,Phishing and Sybil Enhanced Behavior Processing and Footprint Algorithms in Vehicular Ad Hoc Network,Sireesha Kakulla; Srinivas Malladi,International Journal of Safety and Security Engineering,10.18280/ijsse.120111,Position / trajectory verification; RSU / infrastructure-assisted,,,https://doi.org/10.18280/ijsse.120111
,2022,1,Perturbation by Sybil Attack in Clustering for Open IVC Networks (COIN) Protocol—A Protocol in Cluster-Based Routing Category for Infrastructure-Less VANETs,Nishtha; Devaashish Sharma; Manu Sood,Lecture notes in electrical engineering,10.1007/978-981-16-8892-8_27,RSU / infrastructure-assisted; Routing-protocol impact,,,https://doi.org/10.1007/978-981-16-8892-8_27
YES,2020,1,A SURVEY OF SYBIL ATTACK DETECTION IN VANETS,M. Preetha; E. Pavithra; P. Sudharshna; S. Rakshini,International Journal of Engineering Applied Sciences and Technology,10.33564/ijeast.2020.v04i11.047,RSSI / signal-strength & PHY; Trust / reputation; Surveys & reviews; Datasets & simulation,pdfs/2020_Preetha_A_SURVEY_OF_SYBIL_ATTACK_DETECTION_IN_VANETS.pdf,https://doi.org/10.33564/ijeast.2020.v04i11.047,https://doi.org/10.33564/ijeast.2020.v04i11.047
YES,2020,1,Sybil Attack Detection in Vehicular Ad-hoc Networks using Direct Trust Calculation,Sunil Kumar; Prof. Ramesh Babu D R,International Journal of Innovative Technology and Exploring Engineering,10.35940/ijitee.j7392.0891020,Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2020_Kumar_Sybil_Attack_Detection_in_Vehicular_Adhoc_Networks_using_Direct_Trust_Calculation.pdf,https://doi.org/10.35940/ijitee.j7392.0891020,https://doi.org/10.35940/ijitee.j7392.0891020
,2019,1,Enhanced Security Mechanism to Detect Sybil Attacks in VANETs,"Shambel, Tseggaye Getaneh",National Academic Digital Repository of Ethiopia,10.20372/nadre/6273,RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,,https://doi.org/10.20372/nadre/6273,https://doi.org/10.20372/nadre/6273
YES,2019,1,Hash Based Co-Operative Method To Handle Sybil Attack Sequences In Vehicular Ad Hoc Networks,B. Vinoth Kumar; Shilpa Sharma,International Journal of Engineering and Advanced Technology,10.35940/ijeat.f1190.0886s19,"Cryptography, PKI & pseudonyms; Datasets & simulation",pdfs/2019_Kumar_Hash_Based_CoOperative_Method_To_Handle_Sybil_Attack_Sequences_In_Vehicular_Ad_Hoc_Network.pdf,https://doi.org/10.35940/ijeat.f1190.0886s19,https://doi.org/10.35940/ijeat.f1190.0886s19
,2018,1,Detection of Sybil Attack in VANETs,Kamaljit Kaur; Amandeep Kaur,International Journal of Emerging Research in Management and Technology,10.23956/ijermt.v6i6.285,Surveys & reviews; Routing-protocol impact,,,https://doi.org/10.23956/ijermt.v6i6.285
YES,2017,1,A Novel Mechanism of Detection of Sybil Attack in Vanet using Timestamp Approach,,International Journal of Innovations in Engineering and Technology,10.21172/ijiet.81.028,Datasets & simulation,pdfs/2017_anon_A_Novel_Mechanism_of_Detection_of_Sybil_Attack_in_Vanet_using_Timestamp_Approach.pdf,https://doi.org/10.21172/ijiet.81.028,https://doi.org/10.21172/ijiet.81.028
,2016,1,Sybil Attack Detection in Vehicular Networks,Bharat Jayaraman; Jinesh M. Kannimoola; Krishnashree Achuthan,,10.1201/b19516-9,RSU / infrastructure-assisted,,http://arxiv.org/abs/1905.03507,https://doi.org/10.1201/b19516-9
YES,2015,1,Mitigation of Sybil Attack Using Location Aware Nodes in VANET,,International Journal of Science and Research (IJSR),10.21275/v4i11.sub159163,Other / general Sybil defence,pdfs/2015_anon_Mitigation_of_Sybil_Attack_Using_Location_Aware_Nodes_in_VANET.pdf,https://doi.org/10.21275/v4i11.sub159163,https://doi.org/10.21275/v4i11.sub159163
YES,2015,1,VANET Security against Sybil Attack by Using New SRAN Routing Protocol,Omkar Shete; Sachin P. Godse,International Journal of Computer Applications Technology and Research,10.7753/ijcatr0407.1009,RSU / infrastructure-assisted; Routing-protocol impact,pdfs/2015_Shete_VANET_Security_against_Sybil_Attack_by_Using_New_SRAN_Routing_Protocol.pdf,https://doi.org/10.7753/ijcatr0407.1009,http://doi.org/10.7753/ijcatr0407.1009
,2015,1,Sybil attack resistant cryptographic Traffic Information dissemination in VuC,Ajudiya Vandan,International Journal of Innovative Research in Computer and Communication Engineering,10.15680/ijircce.2015.0303015,RSU / infrastructure-assisted; Routing-protocol impact,,,https://doi.org/10.15680/ijircce.2015.0303015
,2014,1,A novel approach to detect Sybil attacks in Vehicular Ad Hoc Networks,A. Sundhari; Y. Bevish Jinila,,10.1109/ecs.2014.6892622,RSU / infrastructure-assisted,,,https://doi.org/10.1109/ecs.2014.6892622
,2012,1,- Detecting Sybil Attacks in Vehicular Ad Hoc Networks*,Tong Zhou; Romit Roy Choudhury; Peng Ning; Krishnendu Chakrabarty,,10.1201/b12988-21,"Cryptography, PKI & pseudonyms; Routing-protocol impact",,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/b12988-21&type=chapterpdf,https://doi.org/10.1201/b12988-21
,2026,,Traffic Congestion Sybil Attack Detection in VANET,Sarthak Khanduja; Arunita Jaekel,Communications in computer and information science,10.1007/978-3-032-14893-3_12,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-032-14893-3_12
,2026,,LSTM–AttnAE: A Hybrid Model for Sybil Attack Detection in VANETs,Hailing Bao; Ligang Cong; Xu Liu; Qingyun Liang; Rongpu Wang,Journal of Advanced Computational Intelligence and Intelligent Informatics,10.20965/jaciii.2026.p1231,Machine learning / deep learning; Datasets & simulation,,https://doi.org/10.20965/jaciii.2026.p1231,https://doi.org/10.20965/jaciii.2026.p1231
,2026,,Dynamic $\boldsymbol{K}$-Means Clustering for Sybil Attack Detection in VANETs,Gideon Adele; Anirudh Paranjothi; Mohammad S. Khan,,10.1109/ccwc67433.2026.11393880,Datasets & simulation,,,https://doi.org/10.1109/ccwc67433.2026.11393880
,2026,,Phantom Jam Sybil Attack Against Vehicular Networks,Colby Cook; Ahmed Mohamed; Mengjun Xie,,10.1109/imns67862.2026.11655306,Other / general Sybil defence,,,https://doi.org/10.1109/imns67862.2026.11655306
YES,2026,,A Robust Framework for Sybil Attack Detection in Vehicular Ad Hoc Networks,Md. Sadmin Tahmid Khan; Md. Saim Ahmmed Utsho; Mosarrat Jahan,arXiv (Cornell University),10.48550/arxiv.2606.11667,Position / trajectory verification; RSU / infrastructure-assisted,pdfs/2026_Khan_A_Robust_Framework_for_Sybil_Attack_Detection_in_Vehicular_Ad_Hoc_Networks.pdf,https://doi.org/10.48550/arxiv.2606.11667,https://doi.org/10.48550/arxiv.2606.11667
YES,2026,,A Robust Framework for Sybil Attack Detection in Vehicular Ad Hoc Networks,Md. Sadmin Tahmid Khan; Md. Saim Ahmmed Utsho; Mosarrat Jahan,arXiv (Cornell University),,Position / trajectory verification; RSU / infrastructure-assisted,pdfs/2026_Khan_A_Robust_Framework_for_Sybil_Attack_Detection_in_Vehicular_Ad_Hoc_Networks.pdf,https://arxiv.org/pdf/2606.11667,https://arxiv.org/abs/2606.11667
,2026,,UAVSyDM: UAV-assisted sybil attack detection mechanism in vehicular Ad Hoc networks,Santosh Kumar; Amol Vasudeva; Manu Sood,Vehicular Communications,10.1016/j.vehcom.2026.101021,Other / general Sybil defence,,,https://doi.org/10.1016/j.vehcom.2026.101021
,2026,,Fog Assisted Federated Learning based Sybil Detection and Prevention Framework for 5G-enabled VANETs,A. Devi; S. Ohmshankar; D. Palani; A. Amirthasaravanan; Sanchith Shanmugha Sundram. R; E. Abinaya,,10.1109/wispnet69615.2026.11489411,Machine learning / deep learning; RSU / infrastructure-assisted,,,https://doi.org/10.1109/wispnet69615.2026.11489411
,2026,,Sybil Attack Detection in VANETs: A Forgetting-Aware Approach Using Stochastic Gradient Descent with Exponential Weight Decay,Gideon  Oluwasegun Adele; Anirudh Paranjothi; Johnson Thomas,SSRN Electronic Journal,10.2139/ssrn.7265298,Other / general Sybil defence,,https://doi.org/10.2139/ssrn.7265298,https://doi.org/10.2139/ssrn.7265298
,2026,,AFog-Based Decentralized Lightweight Revocation Protocol for Sybil-Resistant 5G Vehicular Networks,Mohanad Ahmed Abdulrazzaq Diwan Alzamili; Aymen A. Hameed; Nada Mohammed Hassan Moter; Jalal M. H. Altmemi; Mahmood A. Al-Shareeda; Mohammed Amin; Rami Shehab,International Journal of Robotics and Control Systems,10.31763/ijrcs.v6i1.2439,"Cryptography, PKI & pseudonyms; Blockchain / distributed ledger; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation",,https://doi.org/10.31763/ijrcs.v6i1.2439,https://doi.org/10.31763/ijrcs.v6i1.2439
YES,2026,,EFLO_QDCNN: Exponential Frilled Lizard Optimization_ Quantum Dilated Convolutional Neural Network for Sybil attack detection in VANET,Vinay Kumar S B,Journal of Networking and Communication Systems (JNACS),10.46253/jnacs.v9i1.a4,Machine learning / deep learning; Routing-protocol impact; Datasets & simulation,pdfs/2026_B_EFLOQDCNN_Exponential_Frilled_Lizard_Optimization_Quantum_Dilated_Convolutional_Neural_Net.pdf,https://publisher.resbee.org/jnacs/archive/v9i1/a4/p4.pdf,https://doi.org/10.46253/jnacs.v9i1.a4
,2026,,Retraction Note: Sybil Attack with RSU Detection and Location Privacy in Urban VANETs: An Efficient EPORP Technique,Nitha C. Velayudhan; A. Anitha; Mukesh Madanan,Wireless Personal Communications,10.1007/s11277-026-11968-8,RSU / infrastructure-assisted,,https://link.springer.com/content/pdf/10.1007/s11277-026-11968-8.pdf,https://doi.org/10.1007/s11277-026-11968-8
YES,2026,,A Novel Approach to Sybil Attack Detection in VANETs Using Verifiable Delay Functions and Hierarchical Fog-Cloud Architecture,Habiba Hadri; Mourad Ouadou; Khalid Minaoui,Journal of Cybersecurity and Privacy,10.3390/jcp6020059,Machine learning / deep learning; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2026_Hadri_A_Novel_Approach_to_Sybil_Attack_Detection_in_VANETs_Using_Verifiable_Delay_Functions_and.pdf,https://www.mdpi.com/2624-800X/6/2/59/pdf?version=1775012751,https://doi.org/10.3390/jcp6020059
,2026,,Vision-augmented split-attention neural architectures for Sybil resilience via chaos-driven secure elliptic key synthesis to assured data exchange in CR-VANETs,Deepika Arunachalavel; N. Pandeeswari,Smart Science,10.1080/23080477.2026.2635104,Machine learning / deep learning; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1080/23080477.2026.2635104
,2026,,Mitigating Sybil Attacks in V2X Communication Through Cryptographic Trust Anchors,Maher Fayyad; Abdullah Awad; Edison Pignaton de Freitas; Wagner Ourique de Morais; Alexandre dos Santos Roque,,10.1109/ficloud70576.2026.00019,Trust / reputation,,,https://doi.org/10.1109/ficloud70576.2026.00019
YES,2025,,Survey on Sybil Attack Detection in VANET,Balajee Maram,Multimedia Research,10.46253/j.mr.v8i4.a4,Machine learning / deep learning; RSU / infrastructure-assisted; Surveys & reviews; Routing-protocol impact,pdfs/2025_Maram_Survey_on_Sybil_Attack_Detection_in_VANET.pdf,https://publisher.resbee.org/mr/archive/v8i4/a4/p4.pdf,https://doi.org/10.46253/j.mr.v8i4.a4
